,Адрес,Количество комнат,Площадь,Этаж,Срок экспозиции,Начальная цена,Начальная цена за 1 метр,Цена при снятии,Цена при снятии за 1 метр,Опубликовано,Дата снятия
0,test,test,test ,test, test  ,test,test,test,test,test,test
1,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",2 ,48 ,2 , 983  ,4100000 ,85417 ,4100000 ,85417 ,25.04.2017 ,02.01.2020 
2,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",1 ,"35,8 ",2 , 9  ,4200000 ,117319 ,4200000 ,117319 ,19.11.2019 ,27.11.2019 
3,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",3 ,64 ,3 , 179  ,6900000 ,107813 ,6650000 ,103907 ,15.01.2019 ,12.07.2019 
4,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",3 ,63 ,12 , 56  ,5500000 ,87302 ,5500000 ,87302 ,26.09.2018 ,20.11.2018 
5,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",2 ,"45,5 ",7 , 41  ,5100000 ,112088 ,5100000 ,112088 ,19.09.2018 ,29.10.2018 
6,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",1 ,"35,3 ",3 , 9  ,3400000 ,96318 ,3800000 ,107649 ,19.09.2018 ,27.09.2018 
7,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",3 ,64 ,7 , 32  ,7000000 ,109360 ,7000000 ,109360 ,20.07.2018 ,20.08.2018 
8,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",2 ,45 ,5 , 104  ,5200000 ,115556 ,5200000 ,115556 ,21.04.2018 ,02.08.2018 
9,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",3 ,"62,6 ",11 , 11  ,5500000 ,87860 ,5500000 ,87860 ,23.03.2018 ,02.04.2018 
10,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",2 ,48 ,7 , 31  ,4500000 ,93750 ,4500000 ,93750 ,07.02.2018 ,09.03.2018 
