,Адрес,Количество комнат,Площадь,Этаж,Срок экспозиции,Начальная цена,Начальная цена за 1 метр,Цена при снятии,Цена при снятии за 1 метр,Опубликовано,Дата снятия
0,test,test,test ,test, test  ,test,test,test,test,test,test
1,"проезд. Тушинский 1-й, д. 8, к. 1",2,"46,8",3, 175 ,8000000,170941,7200000,153847,20.07.2019,10.01.2020
2,"проезд. Тушинский 1-й, д. 8, к. 1",3,52,8, 449 ,7150000,137500,6750000,129808,07.08.2017,29.10.2018
3,"проезд. Тушинский 1-й, д. 8, к. 1",2,47,3, 75 ,6500000,138298,6700000,142554,07.05.2018,20.07.2018
4,"проезд. Тушинский 1-й, д. 8, к. 1",1,16,1, 31 ,2490000,155625,2490000,155625,15.02.2018,17.03.2018
5,"проезд. Тушинский 1-й, д. 8, к. 1",3,51,1, 433 ,6200000,121569,5500000,107844,23.12.2016,28.02.2018
6,"проезд. Тушинский 1-й, д. 8, к. 1",3,56,8, 450 ,7450000,133036,7200000,128572,14.11.2016,06.02.2018
7,"проезд. Тушинский 1-й, д. 8, к. 1",2,45,4, 121 ,5900000,131112,5400000,120000,18.05.2017,15.09.2017
8,"проезд. Тушинский 1-й, д. 8, к. 1",2,"44,9",7, 14 ,5500000,122495,5500000,122495,10.08.2017,23.08.2017
9,"проезд. Тушинский 1-й, д. 8, к. 1",4,65,5, 78 ,8500000,130770,8500000,130770,23.09.2016,09.12.2016
10,"проезд. Тушинский 1-й, д. 8, к. 1",3,"52,6",8, 60 ,7500000,142567,7500000,142567,13.05.2016,11.07.2016
11,"проезд. Тушинский 1-й, д. 8, к. 1",3,51,8, 129 ,7200000,141177,6900000,135295,18.11.2015,25.03.2016
12,"проезд. Тушинский 1-й, д. 8, к. 1",2,45,8, 121 ,6500000,144423,6800000,151089,27.11.2014,27.03.2015
13,"проезд. Тушинский 1-й, д. 8, к. 1",2,45,8, 17 ,5900000,131112,5900000,131112,10.03.2015,26.03.2015
14,"проезд. Тушинский 1-й, д. 8, к. 1",2,45,5, 16 ,6700000,148889,6700000,148889,10.03.2015,25.03.2015
15,"проезд. Тушинский 1-й, д. 8, к. 1",4,64,2, 119 ,8800000,137500,9300000,145313,27.11.2014,25.03.2015
16,"проезд. Тушинский 1-й, д. 8, к. 1",2,45,2, 27 ,6450000,143334,6450000,143334,26.01.2015,21.02.2015
17,"проезд. Тушинский 1-й, д. 8, к. 1",4,64,9, 66 ,10500000,164063,10500000,164063,27.11.2014,31.01.2015
18,"проезд. Тушинский 1-й, д. 14",1,42,1, 783 ,5900000,140477,5700000,135715,11.11.2017,02.01.2020
19,"проезд. Тушинский 1-й, д. 14",1,"44,4",4, 11 ,7100000,159910,7100000,159910,15.11.2018,25.11.2018
20,"проезд. Тушинский 1-й, д. 14",1,38,2, 141 ,6900000,181579,5990000,157632,30.05.2018,17.10.2018
21,"проезд. Тушинский 1-й, д. 14",1,"44,4",4, 153 ,7600000,171172,7300000,164415,14.08.2016,13.01.2017
22,"проезд. Тушинский 1-й, д. 14",3,74,5, 400 ,9830000,132811,10600000,143244,08.07.2015,10.08.2016
23,"проезд. Тушинский 1-й, д. 14",3,74,5, 82 ,11500000,155406,11500000,155406,19.11.2015,08.02.2016
24,"проезд. Тушинский 1-й, д. 14",3,"77,5",5, 211 ,13500000,174194,11500000,148388,03.04.2015,30.10.2015
25,"проезд. Тушинский 1-й, д. 14",2,67,5, 5 ,8400000,125374,8400000,125374,17.09.2015,21.09.2015
26,"проезд. Тушинский 1-й, д. 15",3,"73,2",3, 113 ,11900000,162569,12200000,166667,10.04.2020,В продаже
27,"проезд. Тушинский 1-й, д. 15",3,73,3, 5 ,9200000,126028,9200000,126028,08.07.2019,12.07.2019
28,"проезд. Тушинский 1-й, д. 15",2,46,2, 58 ,6560000,142500,6560000,142500,22.03.2018,18.05.2018
29,"проезд. Тушинский 1-й, д. 15",3,75,4, 660 ,10000000,133334,10000000,133334,01.03.2015,19.12.2016
30,"проезд. Тушинский 1-й, д. 15",3,64,1, 588 ,11200000,175000,9200000,143750,08.12.2014,17.07.2016
31,"проезд. Тушинский 1-й, д. 15",3,"71,5",2, 482 ,12000000,167833,12000000,167833,08.12.2014,02.04.2016
32,"проезд. Тушинский 1-й, д. 15",3,"72,1",5, 8 ,8900000,123440,8900000,123440,25.01.2016,01.02.2016
33,"проезд. Тушинский 1-й, д. 19",3,"67,5",3, 1164 ,13000000,192593,11700000,173334,26.10.2016,02.01.2020
34,"проезд. Тушинский 1-й, д. 19",3,74,4, 1311 ,15400000,208109,12200000,164865,01.06.2016,02.01.2020
35,"проезд. Тушинский 1-й, д. 19",3,68,5, 7 ,13500000,198530,13500000,198530,12.07.2019,18.07.2019
36,"проезд. Тушинский 1-й, д. 19",2,50,3, 28 ,12850000,257000,12850000,257000,05.06.2019,02.07.2019
37,"проезд. Тушинский 1-й, д. 19",2,50,1, 29 ,9650000,193000,9650000,193000,10.10.2018,07.11.2018
38,"проезд. Тушинский 1-й, д. 19",3,"74,1",3, 35 ,15000000,202430,15000000,202430,22.03.2018,25.04.2018
39,"проезд. Тушинский 1-й, д. 19",1,36,2, 28 ,6800000,188889,6800000,188889,07.03.2018,03.04.2018
40,"проезд. Тушинский 1-й, д. 19",2,74,1, 178 ,13750000,185811,12500000,168919,16.08.2017,09.02.2018
41,"проезд. Тушинский 1-й, д. 19",3,64,6, 169 ,10000000,156250,10000000,156250,08.08.2017,23.01.2018
42,"проезд. Тушинский 1-й, д. 19",3,68,6, 75 ,10300000,151471,10300000,151471,07.11.2017,20.01.2018
43,"проезд. Тушинский 1-й, д. 19",2,50,4, 70 ,12400000,248000,12400000,248000,03.11.2017,11.01.2018
44,"проезд. Тушинский 1-й, д. 19",1,34,2, 349 ,8700000,255883,7700000,226471,16.09.2016,30.08.2017
45,"проезд. Тушинский 1-й, д. 19",1,34,3, 230 ,7500000,220589,7150000,210295,09.09.2016,26.04.2017
46,"проезд. Тушинский 1-й, д. 19",1,"18,5",1, 10 ,3400000,183784,3400000,183784,03.04.2017,12.04.2017
47,"проезд. Тушинский 1-й, д. 19",3,"72,1",1, 12 ,8700000,120666,8700000,120666,31.03.2017,11.04.2017
48,"проезд. Тушинский 1-й, д. 19",2,52,6, 49 ,11000000,211539,10000000,192308,06.10.2016,23.11.2016
49,"проезд. Тушинский 1-й, д. 19",студия,78,2, 67 ,3300000,42308,3200000,41026,25.08.2016,30.10.2016
50,"проезд. Хорошевский 1-й, д. 2, к. 17",1,35,4, 438 ,9000000,257143,8550000,244286,16.07.2018,26.09.2019
51,"проезд. Хорошевский 1-й, д. 2, к. 17",3,70,2, 8 ,14000000,200000,14000000,200000,23.08.2019,30.08.2019
52,"проезд. Хорошевский 1-й, д. 2, к. 17",2,"50,5",1, 93 ,11100000,219802,10100000,200000,22.02.2017,25.05.2017
53,"проезд. Хорошевский 1-й, д. 2, к. 17",1,33,1, 94 ,5600000,169697,5600000,169697,22.08.2016,23.11.2016
54,"проезд. Хорошевский 1-й, д. 2, к. 17",3,70,1, 60 ,15000000,214286,15000000,214286,16.09.2016,14.11.2016
55,"проезд. Хорошевский 1-й, д. 2, к. 17",2,50,1, 99 ,14350000,287000,14350000,287000,01.06.2016,07.09.2016
56,"проезд. Хорошевский 1-й, д. 2, к. 17",3,73,3, 20 ,21000000,287672,21000000,287672,18.08.2015,06.09.2015
57,"проезд. Хорошевский 1-й, д. 4, к. 1",2,"50,3",4, 6 ,10700000,212724,10900000,216700,05.03.2020,10.03.2020
58,"проезд. Хорошевский 1-й, д. 4, к. 1",1,"33,4",1, 189 ,6500000,194786,5850000,175308,04.08.2017,08.02.2018
59,"проезд. Хорошевский 1-й, д. 4, к. 1",2,50,4, 154 ,12500000,250000,11000000,220000,16.02.2017,19.07.2017
60,"проезд. Хорошевский 1-й, д. 4, к. 1",3,78,1, 293 ,21000000,269231,21000000,269231,03.07.2015,20.04.2016
61,"проезд. Хорошевский 1-й, д. 4, к. 2",3,70,2, 233 ,15400000,220000,14500000,207143,29.07.2019,17.03.2020
62,"проезд. Хорошевский 1-й, д. 4, к. 2",3,69,1, 127 ,14200000,205798,13990000,202754,26.02.2019,02.07.2019
63,"проезд. Хорошевский 1-й, д. 4, к. 2",3,"67,4",1, 90 ,14190000,210535,12900000,191395,28.02.2019,28.05.2019
64,"проезд. Хорошевский 1-й, д. 4, к. 2",1,"32,4",3, 14 ,7750000,239198,7700000,237655,28.11.2018,11.12.2018
65,"проезд. Хорошевский 1-й, д. 4, к. 2",1,"32,4",4, 140 ,8500000,262346,7850000,242284,08.07.2018,24.11.2018
66,"проезд. Хорошевский 1-й, д. 4, к. 2",3,70,1, 172 ,13490000,192715,13490000,192715,03.03.2017,21.08.2017
67,"проезд. Хорошевский 1-й, д. 4, к. 2",1,33,4, 7 ,7700000,233334,7700000,233334,28.04.2017,04.05.2017
68,"проезд. Хорошевский 1-й, д. 4, к. 2",3,"67,4",1, 25 ,14500000,215134,13400000,198814,28.03.2017,21.04.2017
69,"проезд. Хорошевский 1-й, д. 4, к. 2",3,"67,4",1, 443 ,22500000,333828,17000000,252226,09.07.2015,23.09.2016
70,"проезд. Хорошевский 1-й, д. 4, к. 2",студия,50,1, 10 ,2400000,48000,2400000,48000,22.08.2016,31.08.2016
71,"проезд. Хорошевский 1-й, д. 4, к. 2",3,68,1, 38 ,10800000,158824,8000000,117648,14.05.2016,20.06.2016
72,"проезд. Хорошевский 1-й, д. 4, к. 2",3,68,1, 374 ,26200000,385295,15700000,230883,04.03.2015,11.03.2016
73,"проезд. Хорошевский 1-й, д. 4, к. 2",2,50,4, 53 ,9600000,192000,8950000,179000,12.01.2016,04.03.2016
74,"проезд. Хорошевский 1-й, д. 4, к. 2",3,"67,4",2, 93 ,17000000,252226,16900000,250742,15.09.2015,16.12.2015
75,"проезд. Хорошевский 1-й, д. 4, к. 2",3,67,1, 23 ,14500000,216418,14500000,216418,24.06.2015,16.07.2015
76,"проезд. Хорошевский 1-й, д. 4, к. 3",3,70,2, 422 ,14000000,200000,13700000,195700,14.01.2019,10.03.2020
77,"проезд. Хорошевский 1-й, д. 4, к. 3",3,"68,7",2, 243 ,13300000,193596,13400000,195037,22.03.2019,19.11.2019
78,"проезд. Хорошевский 1-й, д. 4, к. 3",3,71,2, 68 ,13900000,195775,13500000,190141,14.01.2019,22.03.2019
79,"проезд. Хорошевский 1-й, д. 4, к. 3",3,69,1, 288 ,11300000,163769,12500000,181160,13.02.2018,27.11.2018
80,"проезд. Хорошевский 1-й, д. 4, к. 3",2,49,1, 31 ,9500000,193878,9500000,193878,14.04.2018,14.05.2018
81,"проезд. Хорошевский 1-й, д. 4, к. 3",3,69,1, 246 ,13500000,195653,12650000,183334,01.06.2016,01.02.2017
