,Адрес,Количество комнат,Площадь,Этаж,Срок экспозиции,Начальная цена,Начальная цена за 1 метр,Цена при снятии,Цена при снятии за 1 метр,Опубликовано,Дата снятия
0,test,test,test ,test, test  ,test,test,test,test,test,test
1,"ул. Герасимовская, д. 10, лит. А",2,64,1, 172 ,6300000,98438,6200000,96875,23.08.2016,10.02.2017
2,"ул. Герасимовская, д. 12, лит. А",2,41,4, 25 ,3700000,90244,3700000,90244,10.02.2020,05.03.2020
3,"ул. Герасимовская, д. 12, лит. А",2,"43,5",3, 290 ,4500000,103449,4450000,102299,02.04.2019,16.01.2020
4,"ул. Герасимовская, д. 12, лит. А",2,41,5, 6 ,3900000,95122,3900000,95122,14.10.2019,19.10.2019
5,"ул. Герасимовская, д. 12, лит. А",2,43,5, 16 ,3650000,84884,3650000,84884,07.11.2018,22.11.2018
6,"ул. Герасимовская, д. 12, лит. А",2,43,4, 189 ,3650000,84884,3830000,89070,08.05.2018,12.11.2018
7,"ул. Герасимовская, д. 12, лит. А",1,36,2, 65 ,2850000,79167,2800000,77778,07.06.2018,10.08.2018
8,"ул. Герасимовская, д. 12, лит. А",1,32,2, 60 ,3150000,98438,3150000,98438,02.06.2018,31.07.2018
9,"ул. Герасимовская, д. 12, лит. А",2,44,2, 46 ,3950000,89773,3950000,89773,12.05.2018,26.06.2018
10,"ул. Герасимовская, д. 12, лит. А",1,"30,2",5, 201 ,3050000,100961,2870000,95034,21.10.2017,09.05.2018
11,"ул. Герасимовская, д. 12, лит. А",2,46,4, 16 ,3650000,79348,3650000,79348,23.03.2018,07.04.2018
12,"ул. Авиационная, д. 13, лит. А",3,"73,4",6, 106 ,10950000,149183,10600000,144415,17.04.2020,В продаже
13,"ул. Авиационная, д. 13, лит. А",3,"86,6",7, 9 ,12990000,150000,12990000,150000,07.06.2020,15.06.2020
14,"ул. Авиационная, д. 13, лит. А",3,85,5, 421 ,13500000,158824,13850000,162942,22.01.2019,17.03.2020
15,"ул. Авиационная, д. 13, лит. А",3,"71,4",6, 9 ,9400000,131653,9400000,131653,08.03.2020,16.03.2020
16,"ул. Авиационная, д. 13, лит. А",3,"86,1",5, 189 ,14500000,168409,13500000,156795,19.07.2019,23.01.2020
17,"ул. Авиационная, д. 13, лит. А",2,57,4, 1079 ,7200000,126316,7200000,126316,19.01.2017,02.01.2020
18,"ул. Авиационная, д. 13, лит. А",3,54,3, 73 ,7750000,143519,7750000,143519,16.10.2019,27.12.2019
